company_id,industry
391906,Book and Periodical Publishing
22292832,Construction
20300,Banking
3570660,Book and Periodical Publishing
878353,Staffing and Recruiting
729238,IT Services and IT Consulting
766849,Staffing and Recruiting
12828,Food and Beverage Services
2934678,IT Services and IT Consulting
15984730,IT Services and IT Consulting
34771607,Financial Services
947812,Mining
6618000,IT Services and IT Consulting
5887,Staffing and Recruiting
34214892,E-Learning Providers
16239240,Truck Transportation
75056372,IT Services and IT Consulting
23656,Staffing and Recruiting
33218,Staffing and Recruiting
1712844,Real Estate
11056,Staffing and Recruiting
24440,IT Services and IT Consulting
4592,Industrial Machinery Manufacturing
33671,Food and Beverage Manufacturing
11676886,Business Consulting and Services
7164053,Banking
14158,Staffing and Recruiting
366025,Truck Transportation
18306,Restaurants
6213,Manufacturing
349088,Oil and Gas
3556531,Retail Apparel and Fashion
4433,Staffing and Recruiting
4787,IT Services and IT Consulting
65294553,Staffing and Recruiting
90869,Staffing and Recruiting
7790573,Business Consulting and Services
74827,IT Services and IT Consulting
5396873,Software Development
99410085,Retail
261933,IT Services and IT Consulting
164376,IT Services and IT Consulting
36226,Non-profit Organizations
50861,Staffing and Recruiting
1054905,Chemical Manufacturing
18939015,Staffing and Recruiting
2855513,Truck Transportation
649827,Staffing and Recruiting
4015761,Individual and Family Services
24803,Staffing and Recruiting
13345578,IT Services and IT Consulting
98504846,Real Estate
56833,Staffing and Recruiting
1705516,Real Estate
203227,Human Resources Services
33279976,Staffing and Recruiting
3345041,Non-profit Organizations
54077952,Motor Vehicle Manufacturing
27021761,IT Services and IT Consulting
5304844,Construction
63155,Gambling Facilities and Casinos
356432,Facilities Services
30104,Staffing and Recruiting
4674,Utilities
8913985,Software Development
15457223,Hospitals and Health Care
397597,Human Resources Services
5117988,Construction
53255,IT Services and IT Consulting
970538,Staffing and Recruiting
9372063,Renewable Energy Semiconductor Manufacturing
15506,Financial Services
2254994,Staffing and Recruiting
48024,Construction
111849,IT Services and IT Consulting
77912635,Online Audio and Video Media
65647,Staffing and Recruiting
213746,Staffing and Recruiting
1381506,Construction
146782,IT Services and IT Consulting
16169840,Staffing and Recruiting
612698,Hospitals and Health Care
770551,Hospitals and Health Care
35123,Airlines and Aviation
13333,Staffing and Recruiting
1404653,Truck Transportation
6522041,Industrial Machinery Manufacturing
777243,Staffing and Recruiting
86734830,Financial Services
468898,IT Services and IT Consulting
24996269,Hospitals and Health Care
164126,Banking
75584764,IT Services and IT Consulting
3293893,Real Estate
10638654,Hospitals and Health Care
1499970,Facilities Services
71373471,IT Services and IT Consulting
46970,Staffing and Recruiting
1552586,IT Services and IT Consulting
91371020,Business Consulting and Services
22448914,Business Consulting and Services
165464,IT Services and IT Consulting
47024,Staffing and Recruiting
100977746,IT Services and IT Consulting
10126963,Staffing and Recruiting
8323,Software Development
143796,Staffing and Recruiting
109785,Food and Beverage Manufacturing
9280354,IT Services and IT Consulting
3638332,Human Resources Services
56147841,Medical Practices
57301703,Non-profit Organizations
680248,Manufacturing
3476,Staffing and Recruiting
1056670,IT Services and IT Consulting
18298504,Financial Services
13331595,IT Services and IT Consulting
705539,Staffing and Recruiting
934588,Semiconductor Manufacturing
28498,Hospitals and Health Care
2911058,Information Services
10620373,Software Development
294125,IT Services and IT Consulting
74604183,IT Services and IT Consulting
3670040,Construction
8556,Financial Services
361424,Renewable Energy Semiconductor Manufacturing
101478385,Book and Periodical Publishing
26638644,IT Services and IT Consulting
684457,Architecture and Planning
259589,Staffing and Recruiting
2721914,Telecommunications
90396,Software Development
19647,IT Services and IT Consulting
708917,Financial Services
