job_id,inferred,type
3887473071,0,Medical insurance
3887473071,0,Vision insurance
3887473071,0,Dental insurance
3887473071,0,401(k)
3887473071,0,Student loan assistance
3887473071,0,Tuition assistance
3884916106,0,Medical insurance
3884916106,0,Vision insurance
3884916106,0,Dental insurance
3884916106,0,401(k)
3884916106,0,Disability insurance
3884431523,0,Medical insurance
3884431523,0,Vision insurance
3884431523,0,Dental insurance
3884431523,0,401(k)
3884427968,1,401(k)
3884915161,0,Medical insurance
3884915161,0,Vision insurance
3884915161,0,Dental insurance
3884915161,0,401(k)
3884915161,0,Disability insurance
3884430505,1,401(k)
3884435029,0,Medical insurance
3884435029,0,Vision insurance
3884435029,0,Dental insurance
3884435029,0,401(k)
3884912506,0,Medical insurance
3884912506,0,Vision insurance
3884912506,0,Dental insurance
3884912506,0,401(k)
3884912506,0,Paid maternity leave
3884912506,0,Disability insurance
3884427971,1,401(k)
3884915264,1,401(k)
3884915264,1,Vision insurance
3884433280,0,Medical insurance
3884433280,0,Vision insurance
3884433280,0,Dental insurance
3884433280,0,401(k)
3884432469,0,Medical insurance
3884432469,0,Vision insurance
3884432469,0,Dental insurance
3884432469,0,401(k)
3884432469,0,Disability insurance
3884431497,1,401(k)
3887475014,1,Vision insurance
3887475014,1,Disability insurance
3887475014,1,401(k)
3884910870,0,Medical insurance
3884910870,0,Vision insurance
3884910870,0,Dental insurance
3884910870,0,401(k)
3884910870,0,Disability insurance
3884910870,0,Paid maternity leave
3887472403,0,Medical insurance
3887472403,0,Vision insurance
3887472403,0,Dental insurance
3887472403,0,401(k)
3887472403,0,Paid paternity leave
3887472403,0,Tuition assistance
3887472403,0,Paid maternity leave
3887472403,0,Student loan assistance
3887472403,0,Child care support
3887472403,0,Commuter benefits
3887472403,0,Disability insurance
3884435057,0,Medical insurance
3884435057,0,Vision insurance
3884435057,0,Dental insurance
3884435057,0,401(k)
3884435057,0,Paid maternity leave
3884435057,0,Paid paternity leave
3884435057,0,Tuition assistance
3884435057,0,Disability insurance
3884433292,0,Medical insurance
3884433292,0,Vision insurance
3884433292,0,Dental insurance
3884433292,0,401(k)
3887474296,1,401(k)
3884910873,0,Medical insurance
3884910873,0,Vision insurance
3884910873,0,Dental insurance
3884910873,0,401(k)
3884910873,0,Disability insurance
3884910873,0,Tuition assistance
3884914271,0,Medical insurance
3884914271,0,Vision insurance
3884914271,0,Dental insurance
3884914271,0,401(k)
3884914271,0,Tuition assistance
3884914271,0,Disability insurance
3884435043,1,401(k)
3884915359,0,Medical insurance
3884915359,0,Vision insurance
3884915359,0,Dental insurance
3884915359,0,401(k)
3884915359,0,Disability insurance
3884915359,0,Paid maternity leave
3884915359,0,Paid paternity leave
3884915359,0,Tuition assistance
3884912330,1,401(k)
3884912330,1,Medical insurance
3884427963,1,401(k)
3884432541,1,Commuter benefits
3887466991,1,Medical insurance
3884427965,1,401(k)
3884910962,0,Medical insurance
3884910962,0,Vision insurance
3884910962,0,Dental insurance
3884910962,0,401(k)
3884910962,0,Disability insurance
3884910962,0,Tuition assistance
3884912315,1,Medical insurance
3887469624,1,401(k)
3887469624,1,Medical insurance
3887473578,0,Medical insurance
3887473578,0,Vision insurance
3887473578,0,Dental insurance
3887473578,0,401(k)
3887478270,0,Medical insurance
3887478270,0,Vision insurance
3887478270,0,Dental insurance
3887478270,0,401(k)
3887478270,0,Tuition assistance
3884910761,1,Medical insurance
3884910761,1,401(k)
3884432540,1,401(k)
3884432540,1,Medical insurance
3884432540,1,Disability insurance
3884916322,1,401(k)
3884916322,1,Vision insurance
3887475299,0,Medical insurance
3887475299,0,Vision insurance
3887475299,0,Dental insurance
3887475299,0,401(k)
3887475299,0,Paid maternity leave
3887475299,0,Paid paternity leave
3887475299,0,Disability insurance
3884433240,0,Medical insurance
3884433240,0,Vision insurance
3884433240,0,Dental insurance
3884433240,0,401(k)
3884433240,0,Disability insurance
3887466670,1,401(k)
3887466670,1,Disability insurance
3884431490,1,401(k)
3884908929,1,401(k)
3884908929,1,Medical insurance
3800272386,1,Vision insurance
3800272386,1,Medical insurance
3800272386,1,Dental insurance
3800272386,1,401(k)
3800272386,1,Paid maternity leave
3800272386,1,Paid paternity leave
3800272386,1,Disability insurance
3884429552,1,401(k)
3884912486,0,Medical insurance
3884912486,0,Vision insurance
3884912486,0,Dental insurance
3887467642,1,401(k)
3887474156,0,Medical insurance
3887474156,0,Vision insurance
3887474156,0,Dental insurance
3884436105,1,401(k)
3884911730,0,Medical insurance
3884911730,0,Vision insurance
3884911730,0,Dental insurance
3884911730,0,401(k)
3884911730,0,Paid maternity leave
3884911730,0,Disability insurance
3887474506,1,Vision insurance
3887474506,1,401(k)
3887474506,1,Paid paternity leave
3887472874,0,Medical insurance
3887472874,0,Vision insurance
3887472874,0,Dental insurance
3887472874,0,401(k)
3887484192,1,401(k)
3887484192,1,Vision insurance
3884917136,0,Medical insurance
3884917136,0,Vision insurance
3884917136,0,Dental insurance
3884917136,0,401(k)
3884917136,0,Disability insurance
3884917136,0,Tuition assistance
3887470561,0,Medical insurance
3887470561,0,Vision insurance
3887470561,0,Dental insurance
3887470561,0,401(k)
3887470561,0,Paid maternity leave
3884436043,0,Medical insurance
3884436043,0,Vision insurance
3884436043,0,Dental insurance
3887484964,0,Medical insurance
3887484964,0,Vision insurance
3887484964,0,Dental insurance
3887484964,0,401(k)
3887484964,0,Commuter benefits
3887484964,0,Disability insurance
3887484964,0,Child care support
3887476341,0,Medical insurance
3884435204,0,Medical insurance
3884435204,0,Vision insurance
3884435204,0,Dental insurance
3884435204,0,401(k)
3884435204,0,Disability insurance
3887474462,0,Medical insurance
3887474462,0,Vision insurance
3887474462,0,Dental insurance
3887474462,0,401(k)
3887474462,0,Paid paternity leave
3887474462,0,Tuition assistance
3887474462,0,Paid maternity leave
3887474462,0,Student loan assistance
3887474462,0,Child care support
3887474462,0,Commuter benefits
3887474462,0,Disability insurance
3887474760,0,Medical insurance
3887474760,0,Vision insurance
3887474760,0,Dental insurance
3887474760,0,401(k)
3884427957,1,401(k)
3884436211,0,Medical insurance
3884436211,0,Vision insurance
3884436211,0,Dental insurance
3884436211,0,401(k)
3884436211,0,Paid paternity leave
3884436211,0,Paid maternity leave
3884436211,0,Child care support
3884436211,0,Pension plan
3884436211,0,Commuter benefits
3884436211,0,Student loan assistance
3884436211,0,Tuition assistance
3884436211,0,Disability insurance
3887473506,1,Medical insurance
3887473506,1,Disability insurance
3887473506,1,401(k)
3884431744,0,Medical insurance
3884431744,0,Vision insurance
3884431744,0,Dental insurance
3884431744,0,401(k)
3884431744,0,Paid paternity leave
3884431744,0,Paid maternity leave
3884426975,1,401(k)
3884436183,1,401(k)
3884429777,0,Medical insurance
3884429777,0,Vision insurance
3884429777,0,Dental insurance
3884429777,0,401(k)
3884429777,0,Pension plan
3884429777,0,Paid maternity leave
3884429777,0,Paid paternity leave
3884429777,0,Student loan assistance
3884429777,0,Tuition assistance
3884429777,0,Disability insurance
3887486875,0,Medical insurance
3887486875,0,Vision insurance
3887486875,0,Dental insurance
3887486875,0,401(k)
3884433392,0,Medical insurance
3884433392,0,Vision insurance
3884433392,0,Dental insurance
3884433392,0,401(k)
3884433392,0,Pension plan
3884433392,0,Child care support
3884433392,0,Paid maternity leave
3884433392,0,Paid paternity leave
3884433392,0,Tuition assistance
3884433392,0,Student loan assistance
3884433392,0,Commuter benefits
3884433392,0,Disability insurance
3887478665,0,Medical insurance
3887478665,0,Vision insurance
3887478665,0,Dental insurance
3887478665,0,401(k)
3887478665,0,Disability insurance
3887478665,0,Tuition assistance
3884914426,1,401(k)
3884914426,1,Commuter benefits
3884914426,1,Medical insurance
3887469905,0,Medical insurance
3887469905,0,Vision insurance
3887469905,0,Dental insurance
3887469905,0,401(k)
3887469905,0,Student loan assistance
3887479788,0,Medical insurance
3887479788,0,Vision insurance
3887479788,0,Dental insurance
3887479788,0,401(k)
3887477849,0,Medical insurance
3887477849,0,401(k)
3884426997,1,401(k)
3887492114,0,Medical insurance
3887492114,0,Vision insurance
3887492114,0,Dental insurance
3887492114,0,401(k)
3887492114,0,Paid maternity leave
3887492114,0,Paid paternity leave
3887492114,0,Tuition assistance
3887492114,0,Disability insurance
3887475359,1,401(k)
3887475359,1,Vision insurance
3887475359,1,Disability insurance
3884919105,1,401(k)
3887474520,0,Medical insurance
3887474520,0,Vision insurance
3887474520,0,Dental insurance
3887474520,0,401(k)
3884434165,0,Medical insurance
3884434165,0,Vision insurance
3884434165,0,Dental insurance
3884917125,0,Medical insurance
3884917125,0,Vision insurance
3884917125,0,Dental insurance
3884917125,0,401(k)
3884917125,0,Tuition assistance
3884917125,0,Disability insurance
3887471053,1,Medical insurance
3887485575,0,Medical insurance
3887485575,0,Vision insurance
3887485575,0,Dental insurance
3887485575,0,401(k)
3887485575,0,Paid maternity leave
3887493009,1,Medical insurance
3887493009,1,Dental insurance
3887493009,1,Vision insurance
3887493009,1,401(k)
3887493009,1,Pension plan
3887492533,1,401(k)
3884913839,1,Medical insurance
3884910775,1,401(k)
3884910775,1,Medical insurance
3884433426,0,Medical insurance
3884433426,0,Vision insurance
3884433426,0,Dental insurance
3884433426,0,401(k)
3884433426,0,Paid maternity leave
3884433426,0,Paid paternity leave
3884433426,0,Disability insurance
3884432583,1,401(k)
3887476338,1,Medical insurance
3887476338,1,Disability insurance
3887476338,1,401(k)
3884431598,0,Medical insurance
3884431598,0,Vision insurance
3884431598,0,Dental insurance
3884431598,0,401(k)
3884431598,0,Tuition assistance
3887486043,0,Medical insurance
3887486043,0,Vision insurance
3887486043,0,Dental insurance
3887486043,0,401(k)
3887486043,0,Disability insurance
3884429642,0,Medical insurance
3884429642,0,Vision insurance
3884429642,0,Dental insurance
3884429642,0,401(k)
3884429642,0,Paid paternity leave
3884429642,0,Paid maternity leave
3884429642,0,Tuition assistance
3884429642,0,Disability insurance
3884436098,0,401(k)
3884436098,0,Paid maternity leave
3884436098,0,Paid paternity leave
3884436098,0,Tuition assistance
3884436098,0,Disability insurance
3884436098,0,Medical insurance
3884436098,0,Vision insurance
3884436098,0,Dental insurance
3884919132,1,401(k)
3884908907,0,Medical insurance
3884908907,0,Vision insurance
3884908907,0,Dental insurance
3884908907,0,Paid maternity leave
3884908907,0,Paid paternity leave
3884912975,0,Medical insurance
3884912975,0,Vision insurance
3884912975,0,Dental insurance
3884912975,0,401(k)
3884435127,0,Medical insurance
3884435127,0,401(k)
3884435127,0,Pension plan
3884435127,0,Vision insurance
3884435127,0,Dental insurance
3884435127,0,Disability insurance
3887700229,0,Medical insurance
3887700229,0,Vision insurance
3887700229,0,Dental insurance
3887700229,0,401(k)
3887700229,0,Disability insurance
3884434129,0,Dental insurance
3884434129,0,Vision insurance
3884434129,0,Medical insurance
3884434129,0,401(k)
3884434129,0,Disability insurance
3884434129,0,Commuter benefits
3884434129,0,Paid paternity leave
3884434129,0,Paid maternity leave
3884432782,1,401(k)
3884432782,1,Medical insurance
3884432782,1,Vision insurance
3887488108,0,Medical insurance
3887488108,0,Vision insurance
3887488108,0,Dental insurance
3887488108,0,401(k)
3887488108,0,Child care support
3887488108,0,Commuter benefits
3887488108,0,Tuition assistance
3887488108,0,Disability insurance
3884914374,0,Medical insurance
3884914374,0,Dental insurance
3884914374,0,Vision insurance
3884914374,0,401(k)
3887499070,1,Medical insurance
3884917286,0,Medical insurance
3884917286,0,Vision insurance
3884917286,0,Dental insurance
3884917286,0,401(k)
3884917286,0,Tuition assistance
3884436569,0,Medical insurance
3884436569,0,Vision insurance
3884436569,0,Dental insurance
3884436569,0,401(k)
3884914800,0,Medical insurance
3884914800,0,Vision insurance
3884914800,0,Dental insurance
3884914800,0,401(k)
3884914800,0,Paid maternity leave
3884914800,0,Paid paternity leave
3884914800,0,Commuter benefits
3884914800,0,Student loan assistance
3884914800,0,Tuition assistance
3884914800,0,Disability insurance
3884917540,0,Medical insurance
3884917540,0,Vision insurance
3884917540,0,Dental insurance
3884917540,0,401(k)
3887467925,1,Medical insurance
3887467925,1,401(k)
3884912863,1,Medical insurance
3887472551,1,Medical insurance
3887472551,1,Disability insurance
3887472551,1,401(k)
3884434113,1,Vision insurance
3887482162,1,401(k)
3887482162,1,Vision insurance
3887493488,0,Medical insurance
3887493488,0,Vision insurance
3887493488,0,Dental insurance
3887493488,0,401(k)
3884435695,0,Medical insurance
3884435695,0,Pension plan
3884435695,0,Vision insurance
3884435695,0,Dental insurance
3884435695,0,401(k)
3887470524,1,Medical insurance
3887470524,1,401(k)
3884434250,1,401(k)
3884434250,1,Dental insurance
3884434250,1,Medical insurance
3884434250,1,Vision insurance
3887495113,0,Medical insurance
3887495113,0,Vision insurance
3887495113,0,Dental insurance
3887495113,0,401(k)
3887495113,0,Disability insurance
3887467937,0,Medical insurance
3887467937,0,Vision insurance
3887467937,0,Dental insurance
3887467937,0,401(k)
3884432610,1,401(k)
3884430512,1,401(k)
3884433408,0,Medical insurance
3884433408,0,Vision insurance
3884433408,0,Dental insurance
3884433408,0,401(k)
3884920026,1,401(k)
3887479503,1,401(k)
3887479503,1,Commuter benefits
3884923183,1,401(k)
3884923183,1,Dental insurance
3884434134,0,Medical insurance
3884434134,0,Vision insurance
3884434134,0,Dental insurance
3884434134,0,401(k)
3884919436,1,Vision insurance
3884919436,1,401(k)
3884919436,1,Commuter benefits
3884919436,1,Paid maternity leave
3884919436,1,Disability insurance
3887477342,0,Medical insurance
3887477342,0,Vision insurance
3887477342,0,Dental insurance
3887477342,0,401(k)
3887477342,0,Tuition assistance
3887477342,0,Disability insurance
3887493382,0,Medical insurance
3887493382,0,Vision insurance
3887493382,0,Dental insurance
3887493382,0,401(k)
3887493382,0,Tuition assistance
3884435384,1,Medical insurance
3887479188,1,401(k)
3884431973,1,401(k)
